workerid,proliferate.condition,accuracy,accuracy_bool,alter_ball_visible,alter_can_infer,alter_occluders,ball_pos,character_choice,collective_ball_visible,collective_can_infer,ego_ball_visible,ego_can_infer,ego_occluders,internal_node_id,response,rt,search_locations,stimulus,time_elapsed,trial,trial_index,trial_type,error
53,Control,True,1,True,True,010,0,0,True,True,True,True,010,0.0-5.0,0,1245,[0],stimuli/0010010.jpg,284289,prediction_trial,30,image-keyboard-response,
53,Control,True,1,False,False,111,1,1,False,False,True,True,100,0.0-7.0,1,698,[1],stimuli/1111100.jpg,285505,prediction_trial,32,image-keyboard-response,
53,Control,False,0,False,False,111,1,1,False,False,False,True,111,0.0-9.0,2,1548,[1],stimuli/1111111.jpg,287527,prediction_trial,34,image-keyboard-response,
53,Control,False,0,True,True,011,0,0,False,True,False,True,111,0.0-11.0,2,949,[0],stimuli/0011111.jpg,289082,prediction_trial,36,image-keyboard-response,
53,Control,True,1,False,False,110,1,1,False,False,False,True,010,0.0-13.0,1,1225,[1],stimuli/1110010.jpg,291136,prediction_trial,38,image-keyboard-response,
53,Control,False,0,True,True,000,2,2,False,True,False,True,111,0.0-15.0,0,1128,[2],stimuli/2000111.jpg,293021,prediction_trial,40,image-keyboard-response,
53,Control,True,1,True,True,011,0,0,False,True,False,True,100,0.0-17.0,0,662,[0],stimuli/0011100.jpg,294425,prediction_trial,42,image-keyboard-response,
53,Control,True,1,True,True,100,1,1,True,True,True,True,001,0.0-19.0,1,558,[1],stimuli/1100001.jpg,295418,prediction_trial,44,image-keyboard-response,
53,Control,True,1,True,True,010,0,0,True,True,True,True,011,0.0-21.0,0,396,[0],stimuli/0010011.jpg,296117,prediction_trial,46,image-keyboard-response,
53,Control,True,1,False,False,101,0,0,False,False,False,True,110,0.0-23.0,0,766,[0],stimuli/0101110.jpg,297208,prediction_trial,48,image-keyboard-response,
53,Control,True,1,True,True,000,0,0,False,True,False,True,100,0.0-25.0,0,718,[0],stimuli/0000100.jpg,298329,prediction_trial,50,image-keyboard-response,
53,Control,True,1,True,True,011,0,0,True,True,True,True,011,0.0-27.0,0,992,[0],stimuli/0011011.jpg,299764,prediction_trial,52,image-keyboard-response,
53,Control,True,1,True,True,100,1,1,False,True,False,True,011,0.0-29.0,1,2133,[1],stimuli/1100011.jpg,302384,prediction_trial,54,image-keyboard-response,
53,Control,True,1,False,False,111,1,1,False,False,False,True,010,0.0-31.0,1,1013,[1],stimuli/1111010.jpg,304147,prediction_trial,56,image-keyboard-response,
53,Control,True,1,True,True,101,1,1,False,True,False,True,010,0.0-33.0,1,782,[1],stimuli/1101010.jpg,305499,prediction_trial,58,image-keyboard-response,
53,Control,False,0,False,True,010,1,1,False,True,False,True,011,0.0-35.0,2,1198,[1],stimuli/1010011.jpg,307182,prediction_trial,60,image-keyboard-response,
53,Control,True,1,False,False,110,1,1,False,False,True,True,101,0.0-37.0,1,659,[1],stimuli/1110101.jpg,308581,prediction_trial,62,image-keyboard-response,
53,Control,True,1,False,True,001,2,2,False,True,True,True,000,0.0-39.0,2,523,[2],stimuli/2001000.jpg,309726,prediction_trial,64,image-keyboard-response,
53,Control,False,0,False,True,001,2,2,False,True,False,True,111,0.0-41.0,1,1675,[2],stimuli/2001111.jpg,311930,prediction_trial,66,image-keyboard-response,
53,Control,True,1,False,False,011,1,1,False,False,True,True,101,0.0-43.0,1,526,[1],stimuli/1011101.jpg,313254,prediction_trial,68,image-keyboard-response,
53,Control,True,1,False,True,001,2,2,False,True,False,True,011,0.0-45.0,2,834,[2],stimuli/2001011.jpg,314467,prediction_trial,70,image-keyboard-response,
