Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
665793123dafe137eff134c1,64876e8c1a6f7c303a92351b,AWAITING REVIEW,Not Applicable,2024-05-29T20:41:56.877000Z,2024-05-29T20:56:49.946000Z,,2024-05-29T20:58:59.599052Z,894.0,C15OJXAH,3011,71,Female,White,United States,United States,United States,English,No,Full-Time
66579312c24bcd454bfb28b4,64135e3d9cd5e3f16290d29c,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:23.431000Z,2024-05-29T20:52:27.017000Z,,2024-05-29T20:52:43.124584Z,604.0,C15OJXAH,2274,26,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6657931f3acb6e0722e1ee6f,63d96d5957cdd8a417721253,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:34.064000Z,2024-05-29T20:52:35.671000Z,,2024-05-29T20:52:44.506925Z,542.0,C15OJXAH,1243,38,Male,White,United States,United States,United States,English,No,Full-Time
6657932046bfec296554efe2,5bac1d9dc1155b0001175e55,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:15.643000Z,2024-05-29T20:52:22.378000Z,,2024-05-29T20:52:42.504364Z,607.0,C15OJXAH,2471,48,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
66579322fedf541d6edd92dc,6554ea27378d1f1b846788b3,AWAITING REVIEW,Not Applicable,2024-05-29T20:44:02.329000Z,2024-05-29T20:54:16.302000Z,,2024-05-29T20:54:16.771913Z,614.0,C15OJXAH,1211,46,Male,Black,United States,United States,United States,English,No,Full-Time
6657932507def77763fb3f0f,61003bb158741c6a1d79903b,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:18.721000Z,2024-05-29T20:53:55.241000Z,,2024-05-29T20:53:55.955439Z,697.0,C15OJXAH,2547,50,Female,Asian,India,United States,United States,English,No,Part-Time
66579326c24bcd454bfb28ba,5bc0cded8b8bfe000105ea82,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:20.545000Z,2024-05-29T20:49:08.721000Z,,2024-05-29T20:49:35.019157Z,409.0,C15OJXAH,2514,38,Male,White,United States,United States,United States,English,No,Full-Time
6657932825bf5614f149a301,5b22f24c38fc0c0001313ea8,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:21.297000Z,2024-05-29T20:52:56.844000Z,,2024-05-29T20:52:57.320040Z,636.0,C15OJXAH,1700,47,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6657932943f15a792728428f,651c2cc23704dc10500ae77c,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:31.449000Z,2024-05-29T20:54:46.805000Z,,2024-05-29T20:54:47.245372Z,736.0,C15OJXAH,1694,70,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6657932c484b21aefc715b2e,646619d0918746fb726da63e,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:25.485000Z,2024-05-29T20:53:19.653000Z,,2024-05-29T20:53:20.451749Z,655.0,C15OJXAH,2739,61,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
665793313dafe137eff134ca,64360d6189dec3ac8afc9a78,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:29.644000Z,2024-05-29T20:49:39.801000Z,,2024-05-29T20:51:56.163508Z,431.0,C15OJXAH,2812,65,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66579332f7f57d35afea5b16,5eb342dff78ab11407daf144,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:31.721000Z,2024-05-29T20:51:16.247000Z,,2024-05-29T20:52:24.276152Z,525.0,C15OJXAH,4561,24,Female,Asian,United States,United States,United States,English,Yes,Part-Time
665793374271bb527e6e63ea,59d8ae913e5ea00001e1d05f,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:34.901000Z,2024-05-29T20:55:55.565000Z,,2024-05-29T20:55:55.985523Z,801.0,C15OJXAH,7134,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6657933e67794463652049bc,55ea70c37480920010aa9982,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:46.719000Z,2024-05-29T20:51:02.217000Z,,2024-05-29T20:52:19.126057Z,496.0,C15OJXAH,4160,36,Male,Black,United States,United States,United States,English,No,Full-Time
665793422dab1baf738a777c,5d4254db5b2c430001418a3c,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:55.711000Z,2024-05-29T20:49:16.067000Z,,2024-05-29T20:49:39.812368Z,381.0,C15OJXAH,5648,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
665793456412f483218868f7,5c44cf2da5487b00011d0b80,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:52.500000Z,2024-05-29T20:58:45.545000Z,,2024-05-29T20:59:30.329280Z,954.0,C15OJXAH,5954,59,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66579345d450c094bccb2044,59d0ec2446447f00011f0254,AWAITING REVIEW,Not Applicable,2024-05-29T20:42:45.341000Z,2024-05-29T20:53:21.941000Z,,2024-05-29T20:53:22.557868Z,637.0,C15OJXAH,6021,41,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6657934c430fdfc33377c879,62162ab583fc823e78c025e2,AWAITING REVIEW,Not Applicable,2024-05-29T20:45:01.202000Z,2024-05-29T20:57:41.376000Z,,2024-05-29T20:59:12.190406Z,761.0,C15OJXAH,4505,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6657934fec682fff2873a3d7,63a49d5bb18f18863fe82dae,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:02.045000Z,2024-05-29T20:58:43.607000Z,,2024-05-29T20:59:29.760232Z,942.0,C15OJXAH,2349,54,Female,White,United States,United States,United States,English,No,Part-Time
665793595ab239deb9b9900e,60cb3c4b9454f7a196355088,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:10.872000Z,2024-05-29T20:50:57.242000Z,,2024-05-29T20:52:17.258822Z,467.0,C15OJXAH,3968,37,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6657935af0ec5f5cada7f2c1,63daca8ae542ff8f19d3099a,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:14.361000Z,2024-05-29T20:58:23.262000Z,,2024-05-29T20:59:24.548423Z,909.0,C15OJXAH,3216,69,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6657935b84cedbe2cba480ee,62a9513ae9305607fd5af01a,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:18.686000Z,2024-05-29T21:04:25.209000Z,,2024-05-29T21:05:27.983210Z,1267.0,C15OJXAH,1858,60,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
6657936867794463652049c7,5dcea7314d51e4107516c80d,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:20.713000Z,2024-05-29T20:53:19.987000Z,,2024-05-29T20:53:20.375037Z,600.0,C15OJXAH,8246,55,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6657936a03892b97df880b24,633c7424294f7a26710ca395,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:26.771000Z,2024-05-29T20:50:15.893000Z,,2024-05-29T20:52:07.542511Z,410.0,C15OJXAH,3461,39,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6657936e5d33de58ac3f0016,644e757b60476ac7d5a7717a,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:35.110000Z,2024-05-29T20:55:41.617000Z,,2024-05-29T20:55:42.665092Z,727.0,C15OJXAH,2394,59,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6657936f3fa9bac66ec693ce,55c2910dfdf99b5e72c6efcf,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:34.288000Z,2024-05-29T20:51:23.065000Z,,2024-05-29T20:52:26.995644Z,469.0,C15OJXAH,1149,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6657937176ac1e0591ba7662,5b774f493c1375000197ad11,AWAITING REVIEW,Not Applicable,2024-05-29T20:44:21.079000Z,2024-05-29T20:48:27.072000Z,,2024-05-29T20:48:27.797006Z,246.0,C15OJXAH,3975,31,Female,White,United States,United States,United States,English,No,Full-Time
6657937227f74ca16eb424da,632beb3e071d0d5eec133b60,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:38.947000Z,2024-05-29T20:52:04.977000Z,,2024-05-29T20:52:36.127395Z,507.0,C15OJXAH,1886,31,Male,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
66579374480d7e783d0b7be5,6506f9e821e92759b20c2be6,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:32.541000Z,2024-05-29T20:51:56.415000Z,,2024-05-29T20:52:34.013991Z,504.0,C15OJXAH,1420,39,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6657937a4d8acc7211fce0f6,5ec12ad1759b78000a4f9965,AWAITING REVIEW,Not Applicable,2024-05-29T20:43:44.008000Z,2024-05-29T20:53:00.571000Z,,2024-05-29T20:53:01.106710Z,557.0,C15OJXAH,3934,45,Male,White,United States,United States,United States,English,No,Full-Time
66579392a2fb4456c1b425a5,628eb50c442d584fa8275bcc,AWAITING REVIEW,Not Applicable,2024-05-29T20:44:24.122000Z,2024-05-29T20:51:45.002000Z,,2024-05-29T20:52:31.237024Z,441.0,C15OJXAH,3143,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
665793ee1ecf5d6289be5d33,5ed68cac121a540dfb82f4ea,AWAITING REVIEW,Not Applicable,2024-05-29T20:45:37.227000Z,2024-05-29T20:50:39.037000Z,,2024-05-29T20:52:10.087948Z,302.0,C15OJXAH,2018,37,Male,Mixed,United States,United States,United States,English,No,Full-Time
6657953b3fa9bac66ec69436,63a9a8f2f098b7e45bd03721,AWAITING REVIEW,Not Applicable,2024-05-29T20:51:15.984000Z,2024-05-29T21:00:19.589000Z,,2024-05-29T21:00:22.938797Z,544.0,C15OJXAH,3045,69,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66579577cffc7b15f963d041,5b9dd322f074140001050095,AWAITING REVIEW,Not Applicable,2024-05-29T20:57:30.958000Z,2024-05-29T21:05:39Z,,2024-05-29T21:06:08.578861Z,489.0,C15OJXAH,3143,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
665795f0383316f3613518c6,5dc474fd45b8f933f16d6241,AWAITING REVIEW,Not Applicable,2024-05-29T20:54:12.103000Z,2024-05-29T21:03:39.593000Z,,2024-05-29T21:05:12.674866Z,568.0,C15OJXAH,1456,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66579613ec682fff2873a451,63d83a19b8acced30d2e0d32,AWAITING REVIEW,Not Applicable,2024-05-29T20:54:48.469000Z,2024-05-29T21:00:23.026000Z,,2024-05-29T21:00:23.550076Z,335.0,C15OJXAH,3222,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
665796155824579986a2bdbd,5f0d2ad60ad0d6730c380b05,AWAITING REVIEW,Not Applicable,2024-05-29T20:54:45.472000Z,2024-05-29T21:25:45.084000Z,,2024-05-29T21:25:45.489565Z,1860.0,C15OJXAH,3497,51,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED
