workerid,proliferate.condition,accuracy,accuracy_bool,alter_ball_visible,alter_can_infer,alter_occluders,ball_pos,character_choice,collective_ball_visible,collective_can_infer,ego_ball_visible,ego_can_infer,ego_occluders,filler_trial,internal_node_id,key_trial,response,rt,search_locations,stimulus,time_elapsed,trial,trial_index,trial_type,trick_trial,error
241,Experimen 4,True,1,False,False,011,3,2,False,False,True,True,011,False,0.0-5.0,False,2,3582,"[1, 2]",stimuli/3011011.jpg,235635,prediction_trial,30,image-keyboard-response,True,
241,Experimen 4,True,1,False,False,011,1,2,False,False,False,False,011,False,0.0-7.0,True,2,1690,"[2, 1]",stimuli/1011011.jpg,238111,prediction_trial,32,image-keyboard-response,False,
241,Experimen 4,True,1,False,True,010,3,1,False,True,True,True,111,False,0.0-9.0,False,1,1194,[1],stimuli/3010111.jpg,239940,prediction_trial,34,image-keyboard-response,True,
241,Experimen 4,True,1,False,False,101,2,2,False,False,True,True,000,True,0.0-11.0,False,2,3044,"[2, 0]",stimuli/2101000.jpg,243673,prediction_trial,36,image-keyboard-response,False,
241,Experimen 4,True,1,True,True,100,2,2,True,True,True,True,100,True,0.0-13.0,False,2,1559,[2],stimuli/2100100.jpg,246282,prediction_trial,38,image-keyboard-response,False,
241,Experimen 4,True,1,False,True,100,3,0,False,True,True,True,110,False,0.0-15.0,False,0,1830,[0],stimuli/3100110.jpg,248765,prediction_trial,40,image-keyboard-response,True,
241,Experimen 4,True,1,False,False,111,2,2,False,False,False,True,001,True,0.0-17.0,False,2,3174,"[2, 0, 1]",stimuli/2111001.jpg,252568,prediction_trial,42,image-keyboard-response,False,
241,Experimen 4,True,1,False,True,001,3,2,False,True,True,True,111,False,0.0-19.0,False,2,2549,[2],stimuli/3001111.jpg,255762,prediction_trial,44,image-keyboard-response,True,
241,Experimen 4,True,1,False,False,101,0,0,False,False,False,False,111,False,0.0-21.0,True,0,2790,"[0, 2]",stimuli/0101111.jpg,259147,prediction_trial,46,image-keyboard-response,False,
241,Experimen 4,True,1,True,True,100,1,1,True,True,True,True,100,True,0.0-23.0,False,1,1323,[1],stimuli/1100100.jpg,261264,prediction_trial,48,image-keyboard-response,False,
241,Experimen 4,True,1,True,True,001,0,0,True,True,True,True,001,True,0.0-25.0,False,0,1530,[0],stimuli/0001001.jpg,263483,prediction_trial,50,image-keyboard-response,False,
241,Experimen 4,True,1,True,True,010,0,0,True,True,True,True,000,True,0.0-27.0,False,0,824,[0],stimuli/0010000.jpg,264888,prediction_trial,52,image-keyboard-response,False,
241,Experimen 4,False,0,False,False,011,3,1,False,False,True,True,101,False,0.0-29.0,False,2,2680,"[1, 2]",stimuli/3011101.jpg,268230,prediction_trial,54,image-keyboard-response,True,
241,Experimen 4,True,1,False,False,111,1,1,False,False,True,True,100,True,0.0-31.0,False,1,2605,"[1, 2, 0]",stimuli/1111100.jpg,271787,prediction_trial,56,image-keyboard-response,False,
241,Experimen 4,False,0,False,False,101,3,2,False,False,True,True,110,False,0.0-33.0,False,0,3121,"[2, 0]",stimuli/3101110.jpg,275707,prediction_trial,58,image-keyboard-response,True,
241,Experimen 4,True,1,False,True,001,2,2,False,False,False,False,011,False,0.0-35.0,True,2,3694,[2],stimuli/2001011.jpg,280162,prediction_trial,60,image-keyboard-response,False,
241,Experimen 4,True,1,False,True,010,3,1,False,True,True,True,110,False,0.0-37.0,False,1,1829,[1],stimuli/3010110.jpg,282765,prediction_trial,62,image-keyboard-response,True,
241,Experimen 4,True,1,False,False,111,1,2,False,False,False,True,010,True,0.0-39.0,False,2,2792,"[2, 0, 1]",stimuli/1111010.jpg,286192,prediction_trial,64,image-keyboard-response,False,
241,Experimen 4,False,0,True,True,001,0,0,False,False,False,False,101,False,0.0-41.0,True,2,3766,[0],stimuli/0001101.jpg,290644,prediction_trial,66,image-keyboard-response,False,
241,Experimen 4,True,1,False,True,001,2,2,False,True,True,True,110,True,0.0-43.0,False,2,5119,[2],stimuli/2001110.jpg,296559,prediction_trial,68,image-keyboard-response,False,
241,Experimen 4,False,0,True,True,001,0,0,False,False,False,False,111,False,0.0-45.0,True,2,2396,[0],stimuli/0001111.jpg,299530,prediction_trial,70,image-keyboard-response,False,
241,Experimen 4,False,0,False,False,011,1,2,False,False,False,False,111,False,0.0-47.0,True,1,3321,"[2, 1]",stimuli/1011111.jpg,304640,prediction_trial,72,image-keyboard-response,False,
241,Experimen 4,True,1,True,True,100,2,2,False,False,False,False,011,False,0.0-49.0,True,2,3444,[2],stimuli/2100011.jpg,308900,prediction_trial,74,image-keyboard-response,False,
241,Experimen 4,False,0,False,False,110,1,0,False,False,False,False,011,False,0.0-51.0,True,1,2825,"[1, 0]",stimuli/1110011.jpg,312292,prediction_trial,76,image-keyboard-response,False,
241,Experimen 4,True,1,False,False,110,3,1,False,False,True,True,101,False,0.0-53.0,False,1,5442,"[1, 0]",stimuli/3110101.jpg,320482,prediction_trial,78,image-keyboard-response,True,
241,Experimen 4,True,1,True,True,110,2,2,False,True,False,True,001,True,0.0-55.0,False,2,2505,[2],stimuli/2110001.jpg,323932,prediction_trial,80,image-keyboard-response,False,
241,Experimen 4,True,1,False,False,011,3,1,False,False,True,True,101,False,0.0-57.0,False,1,2595,"[1, 2]",stimuli/3011101.jpg,327180,prediction_trial,82,image-keyboard-response,True,
241,Experimen 4,False,0,False,False,101,3,0,False,False,True,True,111,False,0.0-59.0,False,2,4453,"[2, 0]",stimuli/3101111.jpg,332317,prediction_trial,84,image-keyboard-response,True,
241,Experimen 4,True,1,True,True,010,0,0,True,True,True,True,011,True,0.0-61.0,False,0,1224,[0],stimuli/0010011.jpg,334369,prediction_trial,86,image-keyboard-response,False,
241,Experimen 4,False,0,False,True,100,0,0,False,False,False,False,101,False,0.0-63.0,True,2,4053,[0],stimuli/0100101.jpg,339035,prediction_trial,88,image-keyboard-response,False,
241,Experimen 4,True,1,False,True,001,2,2,False,True,True,True,000,True,0.0-65.0,False,2,2087,[2],stimuli/2001000.jpg,341847,prediction_trial,90,image-keyboard-response,False,
241,Experimen 4,False,0,True,True,010,0,0,False,False,False,False,111,False,0.0-67.0,True,1,2840,[0],stimuli/0010111.jpg,345287,prediction_trial,92,image-keyboard-response,False,
241,Experimen 4,True,1,False,True,001,2,2,False,True,True,True,100,True,0.0-69.0,False,2,2808,[2],stimuli/2001100.jpg,348808,prediction_trial,94,image-keyboard-response,False,
241,Experimen 4,False,0,False,False,011,2,1,False,False,False,False,101,False,0.0-71.0,True,2,4278,"[2, 1]",stimuli/2011101.jpg,353711,prediction_trial,96,image-keyboard-response,False,
241,Experimen 4,False,0,True,True,011,0,0,False,False,False,False,111,False,0.0-73.0,True,1,1775,[0],stimuli/0011111.jpg,357406,prediction_trial,98,image-keyboard-response,False,
241,Experimen 4,False,0,False,True,001,3,2,False,True,True,True,111,False,0.0-75.0,False,1,3597,[2],stimuli/3001111.jpg,361702,prediction_trial,100,image-keyboard-response,True,
241,Experimen 4,False,0,True,True,101,1,1,False,False,False,False,011,False,0.0-77.0,True,0,1552,[1],stimuli/1101011.jpg,363867,prediction_trial,102,image-keyboard-response,False,
241,Experimen 4,True,1,False,True,100,3,0,False,True,True,True,111,False,0.0-79.0,False,0,2280,[0],stimuli/3100111.jpg,366800,prediction_trial,104,image-keyboard-response,True,
241,Experimen 4,True,1,False,True,001,3,2,False,True,True,True,110,False,0.0-81.0,False,2,1449,[2],stimuli/3001110.jpg,368892,prediction_trial,106,image-keyboard-response,True,
241,Experimen 4,False,0,True,True,101,1,1,False,False,False,False,110,False,0.0-83.0,True,0,1014,[1],stimuli/1101110.jpg,370585,prediction_trial,108,image-keyboard-response,False,
241,Experimen 4,False,0,False,False,101,3,0,False,False,True,True,011,False,0.0-85.0,False,2,3655,"[0, 2]",stimuli/3101011.jpg,374842,prediction_trial,110,image-keyboard-response,True,
