"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","prolific_study_id","prolific_session_id","rt","stimulus","response","view_history","trial","character_choice","stimulus_dict","accuracy","correct_response","ball_pos","ego_ball_visible","ego_can_infer","alter_ball_visible","alter_can_infer","collective_ball_visible","collective_can_infer","search_locations","alter_occluders","ego_occluders","accuracy_bool","feedback","age","ethnicity","gender","race","overall_accuracy","bonus"
"","","","","","image-keyboard-response","162","159696","0.0-110.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","339","stimuli/21101012.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","163","160152","0.0-111.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","456","stimuli/2010000.jpg","2","","prediction_trial","2","","true","","2","true","true","true","true","true","true","[2]","010","000","1","","","","","","",""
"","","","","","image-keyboard-response","164","160391","0.0-112.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","238","stimuli/20100002.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","165","160843","0.0-113.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","451","stimuli/1101111.jpg","0","","prediction_trial","1","","false","","1","false","false","true","true","false","false","[1]","101","111","0","","","","","","",""
"","","","","","image-keyboard-response","166","161139","0.0-114.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","296","stimuli/11011111.jpg"," ","","feedback_trial","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","167","161593","0.0-115.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","453","stimuli/2100011.jpg","2","","prediction_trial","2","","true","","2","false","false","true","true","false","false","[2]","100","011","1","","","","","","",""
"","","","","","image-keyboard-response","168","161865","0.0-116.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","272","stimuli/21000112.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","169","162423","0.0-117.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","558","stimuli/2110011.jpg","1","","prediction_trial","2","","false","","2","false","false","true","true","false","false","[2]","110","011","0","","","","","","",""
"","","","","","image-keyboard-response","170","162711","0.0-118.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","288","stimuli/21100112.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","171","163253","0.0-119.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","541","stimuli/1100110.jpg","0","","prediction_trial","1","","false","","1","false","false","true","true","false","false","[1]","100","110","0","","","","","","",""
"","","","","","image-keyboard-response","172","163437","0.0-120.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","184","stimuli/11001101.jpg"," ","","feedback_trial","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","173","164009","0.0-121.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","571","stimuli/0101100.jpg","0","","prediction_trial","0","","true","","0","false","true","false","false","false","false","[2,0]","101","100","1","","","","","","",""
"","","","","","image-keyboard-response","174","164309","0.0-122.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","299","stimuli/01011000.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","175","164955","0.0-123.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","646","stimuli/0111011.jpg","0","","prediction_trial","2","","false","","0","true","true","false","false","false","false","[0,1,2]","111","011","0","","","","","","",""
"","","","","","image-keyboard-response","176","165155","0.0-124.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","199","stimuli/01110112.jpg"," ","","feedback_trial","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","177","165719","0.0-125.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","563","stimuli/0010000.jpg","0","","prediction_trial","0","","true","","0","true","true","true","true","true","true","[0]","010","000","1","","","","","","",""
"","","","","","image-keyboard-response","178","165927","0.0-126.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","208","stimuli/00100000.jpg"," ","","feedback_trial","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","179","166313","0.0-127.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","385","stimuli/1111001.jpg","0","","prediction_trial","2","","false","","1","true","true","false","false","false","false","[0,2,1]","111","001","0","","","","","","",""
"","","","","","image-keyboard-response","180","167263","0.0-128.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","949","stimuli/11110012.jpg"," ","","feedback_trial","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","181","168045","0.0-129.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","782","stimuli/2011101.jpg","2","","prediction_trial","1","","false","","2","false","false","false","false","false","false","[1,2]","011","101","0","","","","","","",""
"","","","","","image-keyboard-response","182","168315","0.0-130.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","270","stimuli/20111011.jpg"," ","","feedback_trial","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","183","168801","0.0-131.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","485","stimuli/0001111.jpg","2","","prediction_trial","0","","false","","0","false","false","true","true","false","false","[0]","001","111","0","","","","","","",""
"","","","","","image-keyboard-response","184","169139","0.0-132.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","338","stimuli/00011110.jpg"," ","","feedback_trial","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","185","169583","0.0-133.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","443","stimuli/1001001.jpg","1","","prediction_trial","1","","true","","1","true","true","true","true","true","true","[1]","001","001","1","","","","","","",""
"","","","","","image-keyboard-response","186","169773","0.0-134.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","190","stimuli/10010011.jpg"," ","","feedback_trial","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","187","170231","0.0-135.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","458","stimuli/0111001.jpg","0","","prediction_trial","1","","false","","0","true","true","false","false","false","false","[0,2,1]","111","001","0","","","","","","",""
"","","","","","image-keyboard-response","188","170496","0.0-136.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","264","stimuli/01110011.jpg"," ","","feedback_trial","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","189","171241","0.0-137.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","745","stimuli/1111010.jpg","2","","prediction_trial","2","","true","","1","false","true","false","false","false","false","[0,2,1]","111","010","1","","","","","","",""
"","","","","","image-keyboard-response","190","171525","0.0-138.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","283","stimuli/11110102.jpg"," ","","feedback_trial","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","191","172067","0.0-139.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","541","stimuli/2100010.jpg","2","","prediction_trial","2","","true","","2","true","true","true","true","true","true","[2]","100","010","1","","","","","","",""
"","","","","","image-keyboard-response","192","172297","0.0-140.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","230","stimuli/21000102.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","193","172801","0.0-141.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","503","stimuli/2111100.jpg","2","","prediction_trial","0","","false","","2","true","true","false","false","false","false","[0,1,2]","111","100","0","","","","","","",""
"","","","","","image-keyboard-response","194","173021","0.0-142.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","220","stimuli/21111000.jpg"," ","","feedback_trial","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","195","173431","0.0-143.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","409","stimuli/2011000.jpg","2","","prediction_trial","2","","true","","2","true","true","false","false","false","false","[1,2]","011","000","1","","","","","","",""
"","","","","","image-keyboard-response","196","173733","0.0-144.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","301","stimuli/20110002.jpg"," ","","feedback_trial","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","197","174245","0.0-145.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","512","stimuli/2111001.jpg","2","","prediction_trial","0","","false","","2","false","true","false","false","false","false","[2,1,0]","111","001","0","","","","","","",""
"","","","","","image-keyboard-response","198","174715","0.0-146.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","469","stimuli/21110010.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","199","175267","0.0-147.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","552","stimuli/2011100.jpg","2","","prediction_trial","2","","true","","2","true","true","false","false","false","false","[2,1]","011","100","1","","","","","","",""
"","","","","","image-keyboard-response","200","175581","0.0-148.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","313","stimuli/20111002.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","201","176235","0.0-149.0","5f4a5b3dccae1c5e215cfe3e","665500ab8938657b03fbdba8","6657809249d4c30ce9fb2415","653","stimuli/1110011.jpg","1","","prediction_trial","0","","false","","1","false","false","false","false","false","false","[1,0]","110","011","0","","","","","","",""
